"GSPTSE.Open" "GSPTSE.High" "GSPTSE.Low" "GSPTSE.Close" "GSPTSE.Volume" "GSPTSE.Adjusted"
"2007-09-25" 13889 13999 13874.299805 13997.599609 223888200 13997.599609
"2007-09-26" 14061.400391 14080.299805 13975.599609 14035 225928700 14035
"2007-09-27" 14130 14139.599609 14035 14129.700195 195028700 14129.700195
"2007-09-28" 14138.299805 14167.299805 14081.200195 14098.900391 215798100 14098.900391
"2007-10-01" 14113.099609 14214.700195 14098.900391 14200.599609 186569500 14200.599609
"2007-10-02" 14141.400391 14200.599609 14061.299805 14152.700195 233912300 14152.700195
"2007-10-03" 14145.200195 14180.700195 14016.900391 14020.900391 204685600 14020.900391
"2007-10-04" 14059.299805 14125.099609 14015.900391 14125.099609 207789100 14125.099609
"2007-10-05" 14171.5 14261.700195 14125.099609 14233.299805 188068000 14233.299805
"2007-10-08" 14233.299805 14233.299805 14233.299805 14233.299805 0 14233.299805
"2007-10-09" 14284.700195 14285.299805 14186.200195 14262.200195 297421500 14262.200195
"2007-10-10" 14268.200195 14306.700195 14190.099609 14276.200195 295092100 14276.200195
"2007-10-11" 14357 14407.900391 14161.599609 14229.400391 337402200 14229.400391
"2007-10-12" 14267.400391 14307.299805 14212.099609 14295.900391 230272900 14295.900391
"2007-10-15" 14358.200195 14360.700195 14196.299805 14231.299805 265735300 14231.299805
"2007-10-16" 14205.5 14231.299805 14117.400391 14153 242588800 14153
"2007-10-17" 14250.599609 14254.200195 14117 14219.5 232740100 14219.5
"2007-10-18" 14191.900391 14335.900391 14191.900391 14332 232320400 14332
"2007-10-19" 14231.900391 14332 13992 14001.700195 233144300 14001.700195
"2007-10-22" 13874.700195 14043.599609 13869.099609 14043.599609 192016800 14043.599609
"2007-10-23" 14030.400391 14102.900391 13978 14087.5 216362000 14087.5
"2007-10-24" 14065.400391 14107.700195 13933.700195 14088.5 207270600 14088.5
"2007-10-25" 14153.099609 14175.700195 14059.599609 14124.900391 206927400 14124.900391
"2007-10-26" 14154.599609 14296.400391 14124.900391 14296.400391 249226400 14296.400391
"2007-10-29" 14351.900391 14431.400391 14296.400391 14427.400391 252244800 14427.400391
"2007-10-30" 14356.799805 14427.400391 14290.700195 14312.099609 209988200 14312.099609
"2007-10-31" 14384.400391 14625 14312.099609 14625 422721600 14625
"2007-11-01" 14485.700195 14625 14346 14372.5 265709500 14372.5
"2007-11-02" 14427.599609 14422.700195 14216.700195 14363.900391 246736400 14363.900391
"2007-11-05" 14214.099609 14363.900391 14158.799805 14273.400391 188249400 14273.400391
"2007-11-06" 14385.400391 14391.700195 14273.400391 14370.599609 259325100 14370.599609
"2007-11-07" 14342.5 14370.599609 14117.200195 14118.200195 276431800 14118.200195
"2007-11-08" 14166.200195 14214.099609 13881.799805 14128.599609 279329000 14128.599609
"2007-11-09" 13972.900391 14128.599609 13840.299805 13869.799805 236532600 13869.799805
"2007-11-12" 13819 13869.799805 13590 13605 217173000 13605
"2007-11-13" 13742.900391 13753.099609 13579.799805 13705.099609 227886000 13705.099609
"2007-11-14" 13873.099609 13878.099609 13705.099609 13774.5 226803100 13774.5
"2007-11-15" 13692.099609 13774.5 13450.799805 13524.400391 228564700 13524.400391
"2007-11-16" 13565.099609 13576.400391 13450.799805 13530.400391 201214500 13530.400391
"2007-11-19" 13521.099609 13536.799805 13310.400391 13348.200195 202189200 13348.200195
"2007-11-20" 13393.700195 13541.900391 13312.599609 13459.799805 245314700 13459.799805
"2007-11-21" 13370.5 13459.799805 13264.5 13280.599609 216490400 13280.599609
"2007-11-22" 13290.799805 13381 13269.099609 13381 86182000 13381
"2007-11-23" 13403.099609 13490.799805 13381 13467.200195 188029100 13467.200195
"2007-11-26" 13501.099609 13552.700195 13309.299805 13321.099609 219871500 13321.099609
"2007-11-27" 13268.700195 13374.799805 13190.099609 13369.099609 245634500 13369.099609
"2007-11-28" 13422.299805 13637.900391 13369.099609 13632.200195 265412500 13632.200195
"2007-11-29" 13638.400391 13679.299805 13585.900391 13663.900391 240803900 13663.900391
"2007-11-30" 13705.299805 13785.5 13610.5 13689.099609 294043600 13689.099609
"2007-12-03" 13671.599609 13718.200195 13635 13657.200195 198374600 13657.200195
"2007-12-04" 13664.5 13668 13568.5 13579.599609 230717600 13579.599609
"2007-12-05" 13662.400391 13769.400391 13579.599609 13734.5 290440800 13734.5
"2007-12-06" 13753.700195 13850.799805 13706.099609 13849.799805 244332800 13849.799805
"2007-12-07" 13896.799805 13897.900391 13826.400391 13863 199115200 13863
"2007-12-10" 13915.799805 13988.5 13863 13940.400391 191317700 13940.400391
"2007-12-11" 13963.400391 14027.200195 13722.599609 13723.700195 223172400 13723.700195
"2007-12-12" 13906.200195 13942 13723.700195 13809.400391 201438100 13809.400391
"2007-12-13" 13677.099609 13809.400391 13626.400391 13747.299805 199186500 13747.299805
"2007-12-14" 13689.299805 13747.299805 13636.900391 13674.200195 181766900 13674.200195
"2007-12-17" 13588 13674.200195 13376.299805 13387.099609 208912400 13387.099609
"2007-12-18" 13534.5 13535.900391 13295.599609 13358.099609 220468400 13358.099609
"2007-12-19" 13368.900391 13492.700195 13358.099609 13389.799805 180994900 13389.799805
"2007-12-20" 13456.700195 13468.400391 13350.200195 13407 180319900 13407
"2007-12-21" 13348.700195 13603.299805 13348.400391 13596.099609 307809100 13596.099609
"2007-12-24" 13608.5 13694.799805 13596.099609 13694.799805 57123400 13694.799805
"2007-12-26" 13694.799805 13694.799805 13694.799805 13694.799805 0 13694.799805
"2007-12-27" 13686.599609 13738.599609 13666.400391 13675.599609 101611500 13675.599609
"2007-12-28" 13695.299805 13822.299805 13675.599609 13821.299805 88693300 13821.299805
"2007-12-31" 13816.299805 13864.900391 13788.200195 13833.099609 82166700 13833.099609
"2008-01-02" 13907.700195 13945.400391 13833.099609 13926.799805 148683700 13926.799805
"2008-01-03" 13906.799805 14037.700195 13877.299805 13978.200195 193893700 13978.200195
"2008-01-04" 13875 13978.200195 13769.099609 13778.599609 169909600 13778.599609
"2008-01-07" 13781.900391 13839.700195 13569.700195 13618.900391 195406300 13618.900391
"2008-01-08" 13749 13771.200195 13521.799805 13541.799805 235676000 13541.799805
