"EUR.Open" "EUR.High" "EUR.Low" "EUR.Close" "EUR.Volume" "EUR.Adjusted"
"2013-04-26" 53 55.5 53 55.5 339400 52.65
"2013-04-29" 55.5 57.5 55.15 57 481700 54.08
"2013-04-30" 57 57 54.3 56.9 235600 53.98
"2013-05-01" 57 57 57 57 0 54.08
"2013-05-02" 58 58.5 56.72 57.64 436500 54.68
"2013-05-03" 57.64 57.64 57.64 57.64 0 54.68
"2013-05-06" 57.8 57.8 55.13 55.5 158900 52.65
"2013-05-07" 55.7 57.99 55.2 55.5 258600 52.65
"2013-05-08" 55.5 57 55.5 56.99 630700 54.07
"2013-05-09" 57.4 58.5 56.7 57.5 164900 54.55
"2013-05-10" 56 56 52.1 53 2132400 50.28
"2013-05-13" 52.7 54.2 50.72 54.2 534900 51.42
"2013-05-14" 54.01 56.76 54.01 56.06 569100 53.19
"2013-05-15" 57.4 57.5 55.35 57.25 417400 54.31
"2013-05-16" 57.6 60.69 57.5 57.5 1482500 54.55
"2013-05-17" 57 60.99 57 60 487500 56.92
"2013-05-20" 60 63.2 60 61 255600 57.87
"2013-05-21" 61 62.99 60 60.5 280200 57.4
"2013-05-22" 61.44 62.2 59.17 59.17 253000 56.14
"2013-05-23" 58.9 61.2 58.9 60.5 393800 57.4
"2013-05-24" 60 62.2 60 61.8 232100 58.63
"2013-05-27" 62.2 64.5 62.05 62.95 257300 59.72
"2013-05-28" 62.95 64.3 62.95 63.8 258900 60.53
"2013-05-29" 63.8 64 62.12 63.5 216300 60.24
"2013-05-30" 63.5 63.5 63.5 63.5 0 60.24
"2013-05-31" 64.5 65.64 62.55 65.64 950500 62.27
"2013-06-03" 65.18 67.5 62.71 64.5 296300 61.19
"2013-06-04" 63.5 66.09 63.5 65 367300 61.67
"2013-06-05" 63.7 66.17 63.7 64.7 206100 61.38
"2013-06-06" 65.02 65.7 64 64.5 346400 61.19
"2013-06-07" 63.53 64 62.5 63.1 287300 60.55
"2013-06-10" 63 63.4 62 62.3 426100 59.78
"2013-06-11" 62.5 63.74 61.8 63 133400 60.45
"2013-06-12" 63.95 63.95 61.05 61.65 381700 59.16
"2013-06-13" 61.05 61.05 57.5 58 1007200 55.65
"2013-06-14" 58.25 59 58 58.3 914100 55.94
"2013-06-17" 58.2 59.45 58.02 58.65 325200 56.28
"2013-06-18" 59.65 59.75 56.01 57.6 685200 55.27
"2013-06-19" 58.2 58.2 56.57 57.15 293600 54.84
"2013-06-20" 56.05 56.48 52 52 378000 49.9
"2013-06-21" 53 54.07 52.02 52.35 861900 50.23
"2013-06-24" 52.1 56.97 52.06 56 458700 53.74
"2013-06-25" 55.5 56 53.6 54 383800 51.82
"2013-06-26" 53.1 56.9 53.05 56.85 781500 54.55
"2013-06-27" 56.5 57.4 55.5 56.6 487500 54.31
"2013-06-28" 56.62 58.75 56.4 58.7 625400 56.33
"2013-07-01" 59 60.93 58 58 384600 55.65
"2013-07-02" 58.21 61 57.6 61 181800 58.53
