"FXC.Open" "FXC.High" "FXC.Low" "FXC.Close" "FXC.Volume" "FXC.Adjusted"
"2010-01-22" 94.379997 94.57 93.970001 94.18 346800 93.481605
"2010-01-25" 93.919998 94.269997 93.889999 94.160004 217500 93.461757
"2010-01-26" 93.300003 94.040001 93.199997 93.769997 237600 93.074642
"2010-01-27" 93.559998 93.709999 93.209999 93.57 259100 92.876128
"2010-01-28" 94.050003 94.099998 93.400002 93.43 163000 92.737167
"2010-01-29" 93.510002 93.709999 93.160004 93.190002 118400 92.498949
"2010-02-01" 93.25 93.809998 93.25 93.800003 204600 93.104426
"2010-02-02" 93.970001 94.220001 93.760002 94.190002 151800 93.491533
"2010-02-03" 94.010002 94.150002 93.730003 93.75 124500 93.054794
"2010-02-04" 93.459999 93.470001 92.639999 92.860001 343500 92.171394
"2010-02-05" 93.25 93.349998 92.459999 93.059998 307500 92.369908
"2010-02-08" 93.18 93.330002 92.699997 92.720001 143800 92.032433
"2010-02-09" 93.239998 93.57 92.620003 93.300003 138100 92.608134
"2010-02-10" 93.260002 93.980003 93.040001 93.720001 58400 93.025017
"2010-02-11" 94.089996 95.019997 93.870003 94.779999 267400 94.077155
"2010-02-12" 94.540001 94.82 94.220001 94.709999 82800 94.007674
"2010-02-16" 95.419998 95.669998 95.309998 95.470001 127500 94.76204
"2010-02-17" 95.330002 95.459999 95.150002 95.309998 144600 94.603223
"2010-02-18" 95.459999 95.790001 95.269997 95.660004 99000 94.950634
"2010-02-19" 94.949997 95.879997 94.900002 95.730003 228100 95.020114
"2010-02-22" 95.889999 95.889999 95.419998 95.540001 81000 94.831521
"2010-02-23" 95.419998 95.5 94.150002 94.25 240600 93.551086
"2010-02-24" 94.32 94.760002 94.160004 94.489998 216000 93.789304
"2010-02-25" 93.32 94.07 93.279999 94.059998 242300 93.362493
"2010-02-26" 94.089996 94.75 93.870003 94.699997 142200 93.997746
"2010-03-01" 95.150002 95.690002 94.910004 95.620003 101700 94.910929
"2010-03-02" 96.410004 96.5 96.080002 96.129997 300900 95.417142
"2010-03-03" 96.489998 96.949997 96.400002 96.510002 96000 95.794329
"2010-03-04" 96.660004 96.769997 96.370003 96.629997 87300 95.913434
"2010-03-05" 96.989998 97.050003 96.629997 96.660004 99200 95.943218
"2010-03-08" 97.050003 97.139999 96.75 96.93 350600 96.211213
"2010-03-09" 96.900002 97.279999 96.860001 97.040001 161800 96.320398
"2010-03-10" 96.970001 97.470001 96.940002 97.059998 129700 96.340246
"2010-03-11" 96.760002 97.339996 96.529999 97.209999 120900 96.489135
"2010-03-12" 97.860001 98 97.709999 97.800003 432100 97.074764
"2010-03-15" 97.690002 97.779999 97.330002 97.68 158000 96.955651
"2010-03-16" 97.980003 98.269997 97.860001 98.220001 191200 97.491648
"2010-03-17" 98.550003 98.889999 98.389999 98.589996 146100 97.858899
"2010-03-18" 98.610001 98.650002 98.18 98.239998 134600 97.511496
"2010-03-19" 98.610001 98.639999 97.82 97.959999 333800 97.233573
"2010-03-22" 97.279999 97.75 97.25 97.75 146000 97.025132
"2010-03-23" 97.730003 98.089996 97.599998 98.019997 201800 97.293126
"2010-03-24" 97.32 97.5 96.860001 97.120003 370100 96.399806
"2010-03-25" 97.760002 97.779999 97.160004 97.18 197200 96.459359
"2010-03-26" 96.940002 97.040001 96.660004 97 155500 96.280693
"2010-03-29" 97.410004 97.839996 97.410004 97.57 124800 96.846466
"2010-03-30" 97.900002 98.029999 97.559998 97.660004 146500 96.935803
"2010-03-31" 98.120003 98.220001 97.660004 98.07 127300 97.342758
"2010-04-01" 98.489998 98.889999 98.449997 98.75 215300 98.017716
"2010-04-05" 99.080002 99.449997 99.059998 99.290001 186100 98.553713
"2010-04-06" 99.510002 99.660004 99.400002 99.43 227000 98.692674
"2010-04-07" 99.459999 99.629997 98.980003 99.07 222700 98.335343
"2010-04-08" 98.639999 99.370003 98.550003 99.300003 136000 98.563641
"2010-04-09" 99.029999 99.239998 98.849998 99.160004 116400 98.424679
"2010-04-12" 98.910004 99.440002 98.870003 99.220001 103100 98.484232
"2010-04-13" 99.309998 99.410004 98.910004 99.400002 116400 98.662898
"2010-04-14" 99.720001 100.019997 99.599998 99.669998 207300 98.930892
"2010-04-15" 99.709999 99.870003 99.18 99.220001 373900 98.484232
"2010-04-16" 99.089996 99.18 97.93 98.239998 301700 97.511496
"2010-04-19" 97.669998 98.150002 97.550003 98.07 203600 97.342758
"2010-04-20" 99.559998 99.839996 99.489998 99.669998 356500 98.930892
"2010-04-21" 99.949997 100.07 99.410004 99.650002 180000 98.911044
"2010-04-22" 99.489998 99.730003 99.169998 99.559998 322300 98.821707
"2010-04-23" 99.010002 99.650002 98.93 99.650002 257300 98.911044
"2010-04-26" 99.510002 99.650002 99.309998 99.419998 167900 98.682746
"2010-04-27" 98.699997 99 97.769997 97.82 548900 97.094612
"2010-04-28" 98.349998 98.809998 97.93 98.669998 553600 97.938308
"2010-04-29" 99.129997 99.290001 98.849998 99.010002 258800 98.27579
"2010-04-30" 98.910004 98.910004 97.809998 98 416100 97.273278
"2010-05-03" 98.25 98.540001 97.940002 98.529999 256500 97.799346
"2010-05-04" 97.5 97.589996 97.050003 97.110001 352800 96.389878
"2010-05-05" 96.410004 97.040001 96.120003 96.68 458000 95.963067
"2010-05-06" 96.099998 96.550003 92.5 94.589996 1623700 93.888561
"2010-05-07" 95.449997 95.809998 94.269997 95.339996 846400 94.632999
"2010-05-10" 97.169998 97.309998 96.720001 97.160004 360300 96.43951
"2010-05-11" 97.110001 98.050003 97.050003 97.43 317800 96.707505
"2010-05-12" 97.830002 98.019997 97.43 97.599998 325800 96.876242
"2010-05-13" 97.860001 98.269997 97.5 97.529999 384100 96.806762
"2010-05-14" 96.830002 96.830002 95.870003 96.480003 488500 95.764553
"2010-05-17" 96.290001 96.449997 95.410004 96.279999 527800 95.566031
"2010-05-18" 97.040001 97.129997 95.589996 95.980003 433400 95.26826
"2010-05-19" 95.25 95.510002 94.43 95.309998 855100 94.603223
"2010-05-20" 93.400002 93.889999 92.830002 93.190002 1689700 92.498949
"2010-05-21" 92.860001 94.32 92.790001 93.940002 1012800 93.243387
"2010-05-24" 94.18 94.290001 93.82 93.860001 359300 93.163979
"2010-05-25" 91.940002 93.040001 91.82 93.010002 932300 92.320283
"2010-05-26" 93.290001 94.059998 93.010002 93.110001 671900 92.41954
"2010-05-27" 94.209999 94.900002 94.059998 94.760002 552400 94.057306
"2010-05-28" 95 95.110001 94.370003 94.589996 565900 93.888561
"2010-06-01" 94.379997 95.459999 94.239998 94.410004 506200 93.709903
"2010-06-02" 95.040001 95.93 94.900002 95.839996 315000 95.129292
"2010-06-03" 95.849998 95.910004 95.099998 95.559998 163800 94.851369
"2010-06-04" 94.889999 95.099998 93.629997 93.809998 349100 93.114346
"2010-06-07" 94.010002 94.599998 93.760002 93.839996 125300 93.144123
"2010-06-08" 94.330002 95 93.949997 94.900002 192400 94.196267
"2010-06-09" 95.669998 95.980003 95.209999 95.279999 269800 94.573447
"2010-06-10" 96.419998 96.699997 96.099998 96.480003 291200 95.764553
"2010-06-11" 95.949997 96.459999 95.779999 96.260002 221300 95.546183
"2010-06-14" 97.019997 97.300003 96.279999 96.330002 309400 95.615664
"2010-06-15" 96.790001 97.099998 96.519997 97.040001 165800 96.320398
"2010-06-16" 96.699997 97.290001 96.620003 97.099998 191200 96.37995
"2010-06-17" 96.989998 97.07 96.239998 96.889999 269900 96.171508
"2010-06-18" 96.949997 97.419998 96.889999 97.419998 249900 96.697577
